subject_id	subject_label	subject_category	subject_type	predicate_id	object_id	object_catergory	object_type	subject_definition	mapping_justification
sf:activehumanoccupationsite	Active human occupation site	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Location	dwc:Location	rdfs class	sampled feature is a site at which there are ongoing human activities 	semapv:ManualMappingCuration
sf:anthropogenicenvironment	Anthropogenic environment	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Location	dwc:Location	rdfs class	Sampled feature is produced by or related to human activity past or present 	semapv:ManualMappingCuration
sf:atmosphere	Atmosphere	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Location	dwc:Location	rdfs class	Sampled feature is the Earth's atmosphere 	semapv:ManualMappingCuration
sf:biologicalentity	Biological entity	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Organism	dwc:Organism	rdfs class	Sampled feature is an organism Use for samples that represent some species of organism as the proximate sampled feature, not the environment that the organism inhabits 	semapv:ManualMappingCuration
sf:biologicalentity	Biological entity	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Organism	dwc:Organism	rdfs class	Sampled feature is an organism Use for samples that represent some species of organism as the proximate sampled feature, not the environment that the organism inhabits 	semapv:ManualMappingCuration
sf:earthenvironment	Earth environment	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Location	dwc:Location	rdfs class	Sampled feature is the natural Earth environment 	semapv:ManualMappingCuration
sf:earthinterior	Earth interior	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Location	dwc:Location	rdfs class	Sampled feature is solid material from within the Earth 	semapv:ManualMappingCuration
sf:earthsurface	Earth surface	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Location	dwc:Location	rdfs class	Sampled feature is the interface between solid earth and hydrosphere or atmosphere Includes samples representing things collected on the surface, in the uppermost part of the material below the surface, or air or water directly at the contact with the Earth surface 	semapv:ManualMappingCuration
sf:experimentsetting	Experiment setting	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Location	dwc:Location	rdfs class	Sampled feature is an experimental set up that produced the sample the sample is the product of the experiment 	semapv:ManualMappingCuration
sf:extraterrestrialenvironment	Extraterrestrial environment	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Location	dwc:Location	rdfs class	Sampled feature is the environment outside of solid earth, hydrosphere, or atmosphere 	semapv:ManualMappingCuration
sf:glacierenvironment	Glacier environment	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Location	dwc:Location	rdfs class	Sampled feature is a glacier, ice sheet, ice shelf, iceberg, or rock or water directly under or on top of such ice 	semapv:ManualMappingCuration
sf:laboratoryorcuratorialenvironment	Laboratory or curatorial environment	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Location	dwc:Location	rdfs class	Sampled feature is a laboratory or other research site, collected with intention of characterizing the environment in which data are collected or other research conducted, that might affect results or safety eg lab blank measurements 	semapv:ManualMappingCuration
sf:lakeriverorstreambottom	Lake river or stream bottom	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Location	dwc:Location	rdfs class	Sampled feature is the interface between the solid Earth interface and a lake or flowing water body 	semapv:ManualMappingCuration
sf:marinewaterbody	Marine environment	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Location	dwc:Location	rdfs class	Sampled feature is the marine hydrosphere 	semapv:ManualMappingCuration
sf:marinewaterbodybottom	Marine water body bottom	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Location	dwc:Location	rdfs class	Sampled feature is the interface between the solid Earth and a marine or brackish water body IncludesÂ benthic boundary layer:  the bottom layer of water and the uppermost layer of sediment directly influenced by the overlying water 	semapv:ManualMappingCuration
sf:siteofpasthumanactivities	Site of past human activities	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Location	dwc:Location	rdfs class	sampled feature is a place where humans have been and left evidence of their activity Includes prehistoric and paleo hominid sites 	semapv:ManualMappingCuration
sf:subaerialsurfaceenvironment	Subaerial surface environment	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Location	dwc:Location	rdfs class	Sampled feature is the interface between solid Earth and atmosphere.  Sample is collected on the surface, or immediately below surface (zone of bioturbation). Include soil and recently deposited subaerial sediment at the surface.	semapv:ManualMappingCuration
sf:subsurfacefluidreservoir	Subsurface fluid reservoir	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Location	dwc:Location	rdfs class	sampled feature is the interface between solid Earth and atmosphere  Sample is collected on the surface, or immediately below surface (zone of bioturbation) Include soil and recently deposited subaerial sediment at the surface 	semapv:ManualMappingCuration
sf:terrestrialwaterbody	Terrestrial water body	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Location	dwc:Location	rdfs class	Sampled feature is fluid that resides in fractures, intergranular porosity or other open space in the solid earth 	semapv:ManualMappingCuration
sf:waterbody	Water body	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Location	dwc:Location	rdfs class	Sampled feature is terrestrial hydrosphere-- lake, other standing water, or a flowing water body (river, stream) Include saline water in terrestrial evaporite environments 	semapv:ManualMappingCuration
sf:terrestrialwaterbody	Terrestrial water body	https://w3id.org/isample/vocabulary/sampledfeature/sampledfeaturevocabulary	owl named individual	rdf:type	dwc:Location	dwc:Location	rdfs class	Sampled feature is the Earth's hydrosphere 	semapv:ManualMappingCuration
