csvw:title,csvw:table,csvw:foreignKey,csvw:tableReference,csvw:columnReference
AgentAgentRole,agent-agent-role,agentID,agent,agentID
AgentAgentRole,agent-agent-role,relatedAgentID,agent,agentID
AgentIdentifier,agent-identifier,agentID,agent,agentID
AgentMedia,agent-media,mediaID,media,mediaID
AgentMedia,agent-media,agentID,agent,agentID
ChronometricAgeAgentRole,chronometric-age-agent-role,agentID,agent,agentID
ChronometricAgeAgentRole,chronometric-age-agent-role,chronometricAgeID,chronometric-age,chronometricAgeID
ChronometricAgeAssertion,chronometric-age-assertion,chronometricAgeID,chronometric-age,chronometricAgeID
ChronometricAgeAssertion,chronometric-age-assertion,assertionProtocolID,protocol,protocolID
ChronometricAgeCitation,chronometric-age-citation,chronometricAgeID,chronometric-age,chronometricAgeID
ChronometricAgeMedia,chronometric-age-media,mediaID,media,mediaID
ChronometricAgeMedia,chronometric-age-media,chronometricAgeID,chronometric-age,chronometricAgeID
ChronometricAgeProtocol,chronometric-age-protocol,protocolID,protocol,protocolID
ChronometricAgeProtocol,chronometric-age-protocol,chronometricAgeID,chronometric-age,chronometricAgeID
ChronometricAge,chronometric-age,eventID,event,eventID
ChronometricAge,chronometric-age,materialDatedID,material,materialEntityID
ChronometricAge,chronometric-age,chronometricAgeProtocolID,protocol,protocolID
ChronometricAge,chronometric-age,chronometricAgeConversionProtocolID,protocol,protocolID
CollectionAgentRole,collection-agent-role,agentID,agent,agentID
CollectionAgentRole,collection-agent-role,collectionID,collection,collectionID
CollectionAssertion,collection-assertion,collectionID,collection,collectionID
CollectionAssertion,collection-assertion,assertionProtocolID,protocol,protocolID
CollectionMedia,collection-media,mediaID,media,mediaID
CollectionMedia,collection-media,collectionID,collection,collectionID
EventAgentRole,event-agent-role,agentID,agent,agentID
EventAgentRole,event-agent-role,eventID,event,eventID
EventAssertion,event-assertion,eventID,event,eventID
EventAssertion,event-assertion,assertionProtocolID,protocol,protocolID
EventCitation,event-citation,eventID,event,eventID
EventIdentifier,event-identifier,eventID,event,eventID
EventMedia,event-media,mediaID,media,mediaID
EventMedia,event-media,eventID,event,eventID
EventProtocol,event-protocol,protocolID,protocol,protocolID
EventProtocol,event-protocol,eventID,event,eventID
Event,event,parentEventID,event,eventID
Event,event,georeferenceProtocolID,protocol,protocolID
GeneticSequenceAgentRole,genetic-sequence-agent-role,agentID,agent,agentID
GeneticSequenceAgentRole,genetic-sequence-agent-role,geneticSequenceID,genetic-sequence,geneticSequenceID
GeneticSequenceAssertion,genetic-sequence-assertion,geneticSequenceID,genetic-sequence,geneticSequenceID
GeneticSequenceAssertion,genetic-sequence-assertion,assertionProtocolID,protocol,protocolID
GeneticSequenceCitation,genetic-sequence-citation,geneticSequenceID,genetic-sequence,geneticSequenceID
GeneticSequenceMedia,genetic-sequence-media,mediaID,media,mediaID
GeneticSequenceMedia,genetic-sequence-media,geneticSequenceID,genetic-sequence,geneticSequenceID
GeneticSequenceProtocol,genetic-sequence-protocol,protocolID,protocol,protocolID
GeneticSequenceProtocol,genetic-sequence-protocol,geneticSequenceID,genetic-sequence,geneticSequenceID
GeneticSequence,genetic-sequence,eventID,event,eventID
GeologicalContextMedia,geological-context-media,mediaID,media,mediaID
GeologicalContextMedia,geological-context-media,geologicalContextID,geological-context,geologicalContextID
GeologicalContext,geological-context,eventID,event,eventID
IdentificationAgentRole,identification-agent-role,agentID,agent,agentID
IdentificationAgentRole,identification-agent-role,identificationID,identification,identificationID
IdentificationTaxon,identification-taxon,identificationID,identification,identificationID
Identification,identification,identificationBasedOnOccurrenceID,occurrence,occurrenceID
Identification,identification,identificationBasedOnMaterialEntityID,material,materialEntityID
Identification,identification,identificationBasedOnGeneticSequenceID,genetic-sequence,geneticSequenceID
Identification,identification,identificationBasedOnMediaID,media,mediaID
MaterialAgentRole,material-agent-role,agentID,agent,agentID
MaterialAgentRole,material-agent-role,materialEntityID,material,materialEntityID
MaterialAssertion,material-assertion,materialEntityID,material,materialEntityID
MaterialAssertion,material-assertion,assertionProtocolID,protocol,protocolID
MaterialCitation,material-citation,materialEntityID,material,materialEntityID
MaterialIdentifier,material-identifier,materialEntityID,material,materialEntityID
MaterialMedia,material-media,mediaID,media,mediaID
MaterialMedia,material-media,materialEntityID,material,materialEntityID
MaterialProtocol,material-protocol,protocolID,protocol,protocolID
MaterialProtocol,material-protocol,materialEntityID,material,materialEntityID
Material,material,eventID,event,eventID
Material,material,partOfMaterialEntityID,material,materialEntityID
MediaAgentRole,media-agent-role,agentID,agent,agentID
MediaAgentRole,media-agent-role,mediaID,media,mediaID
MediaAssertion,media-assertion,mediaID,media,mediaID
MediaAssertion,media-assertion,assertionProtocolID,protocol,protocolID
MediaIdentifier,media-identifier,mediaID,media,mediaID
OccurrenceAgentRole,occurrence-agent-role,agentID,agent,agentID
OccurrenceAgentRole,occurrence-agent-role,occurrenceID,occurrence,occurrenceID
OccurrenceAssertion,occurrence-assertion,occurrenceID,occurrence,occurrenceID
OccurrenceAssertion,occurrence-assertion,assertionProtocolID,protocol,protocolID
OccurrenceCitation,occurrence-citation,occurrenceID,occurrence,occurrenceID
OccurrenceIdentifier,occurrence-identifier,occurrenceID,occurrence,occurrenceID
OccurrenceMedia,occurrence-media,mediaID,media,mediaID
OccurrenceMedia,occurrence-media,occurrenceID,occurrence,occurrenceID
OccurrenceProtocol,occurrence-protocol,protocolID,protocol,protocolID
OccurrenceProtocol,occurrence-protocol,occurrenceID,occurrence,occurrenceID
OrganismInteractionAgentRole,organism-interaction-agent-role,agentID,agent,agentID
OrganismInteractionAgentRole,organism-interaction-agent-role,organismInteractionID,organism-interaction,organismInteractionID
OrganismInteractionAssertion,organism-interaction-assertion,organismInteractionID,organism-interaction,organismInteractionID
OrganismInteractionAssertion,organism-interaction-assertion,assertionProtocolID,protocol,protocolID
OrganismInteractionCitation,organism-interaction-citation,organismInteractionID,organism-interaction,organismInteractionID
OrganismInteractionMedia,organism-interaction-media,mediaID,media,mediaID
OrganismInteractionMedia,organism-interaction-media,organismInteractionID,organism-interaction,organismInteractionID
OrganismInteraction,organism-interaction,subjectOccurrenceID,occurrence,occurrenceID
OrganismInteraction,organism-interaction,relatedOccurrenceID,occurrence,occurrenceID
PhylogeneticTreeAssertion,phylogenetic-tree-assertion,phylogeneticTreeID,phylogenetic-tree,phylogeneticTreeID
PhylogeneticTreeAssertion,phylogenetic-tree-assertion,assertionProtocolID,protocol,protocolID
PhylogeneticTreeCitation,phylogenetic-tree-citation,phylogeneticTreeID,phylogenetic-tree,phylogeneticTreeID
PhylogeneticTreeIdentifier,phylogenetic-tree-identifier,phylogeneticTreeID,phylogenetic-tree,phylogeneticTreeID
PhylogeneticTreeMedia,phylogenetic-tree-media,mediaID,media,mediaID
PhylogeneticTreeMedia,phylogenetic-tree-media,phylogeneticTreeID,phylogenetic-tree,phylogeneticTreeID
PhylogeneticTreeProtocol,phylogenetic-tree-protocol,protocolID,protocol,protocolID
PhylogeneticTreeProtocol,phylogenetic-tree-protocol,phylogeneticTreeID,phylogenetic-tree,phylogeneticTreeID
PhylogeneticTreeTipAssertion,phylogenetic-tree-tip-assertion,phylogeneticTreeTipID,phylogenetic-tree-tip,phylogeneticTreeTipID
PhylogeneticTreeTipAssertion,phylogenetic-tree-tip-assertion,assertionProtocolID,protocol,protocolID
PhylogeneticTreeTip,phylogenetic-tree-tip,phylogeneticTreeID,phylogenetic-tree,phylogeneticTreeID
ProtocolCitation,protocol-citation,protocolID,protocol,protocolID
SurveyAgentRole,survey-agent-role,agentID,agent,agentID
SurveyAgentRole,survey-agent-role,surveyID,survey,surveyID
SurveyAssertion,survey-assertion,surveyID,survey,surveyID
SurveyAssertion,survey-assertion,assertionProtocolID,protocol,protocolID
SurveyCitation,survey-citation,surveyID,survey,surveyID
SurveyIdentifier,survey-identifier,surveyID,survey,surveyID
SurveyProtocol,survey-protocol,protocolID,protocol,protocolID
SurveyProtocol,survey-protocol,surveyID,survey,surveyID
SurveyTarget,survey-target,surveyID,survey,surveyID
Survey,survey,samplingEffortProtocolID,protocol,protocolID
